1e-10,0.01292
3e-10,0.03864
5e-10,0.06145
7e-10,0.08603
9e-10,0.15302
1.1e-09,0.25708
1.3e-09,0.21608
1.5e-09,0.31559
1.7e-09,0.43871
1.9e-09,0.69082
2.1e-09,1.01752
2.3e-09,1.20737
2.5e-09,1.67571
2.7e-09,2.14284
2.9e-09,2.97387
3.1e-09,3.46994
3.3e-09,3.43084
3.5e-09,1.81612
3.7e-09,0.80009
3.9e-09,0.48086
4.1e-09,0.19827
4.3e-09,0.048
4.5e-09,0.03989
4.7e-09,0.01372
4.9e-09,0.01238
5.1e-09,0.0
5.3e-09,0.0
5.5e-09,0.0
5.7e-09,0.0
5.9e-09,0.0
6.1e-09,0.0
6.3e-09,0.0
6.5e-09,0.0
6.7e-09,0.0
6.9e-09,0.0
7.1e-09,0.0
7.3e-09,0.0
7.5e-09,0.0
7.7e-09,0.0
7.9e-09,0.0
8.1e-09,0.0
8.3e-09,0.0
8.5e-09,0.0
8.7e-09,0.0
8.9e-09,0.0
9.1e-09,0.02616
9.3e-09,0.05396
9.5e-09,0.19137
9.7e-09,0.33864
9.9e-09,0.67318
