1e-10,0.03347
3e-10,0.0839
5e-10,0.16811
7e-10,0.21556
9e-10,0.42751
1.1e-09,0.58069
1.3e-09,0.66048
1.5e-09,0.95833
1.7e-09,1.16034
1.9e-09,1.23549
2.1e-09,1.46793
2.3e-09,1.59383
2.5e-09,1.51501
2.7e-09,1.83775
2.9e-09,1.76999
3.1e-09,1.89026
3.3e-09,1.958
3.5e-09,1.76149
3.7e-09,2.08671
3.9e-09,2.21405
4.1e-09,1.82146
4.3e-09,1.798
4.5e-09,1.61527
4.7e-09,2.06372
4.9e-09,1.56864
5.1e-09,1.53113
5.3e-09,1.35781
5.5e-09,1.47277
5.7e-09,1.28116
5.9e-09,1.26238
6.1e-09,1.01205
6.3e-09,1.14942
6.5e-09,0.97073
6.7e-09,1.11327
6.9e-09,0.99946
7.1e-09,0.94821
7.3e-09,0.46617
7.5e-09,0.72384
7.7e-09,0.37473
7.9e-09,0.59261
8.1e-09,0.47506
8.3e-09,0.30956
8.5e-09,0.32064
8.7e-09,0.60667
8.9e-09,0.47407
9.1e-09,0.53683
9.3e-09,0.94171
9.5e-09,0.81874
9.7e-09,0.8273
9.9e-09,1.38395
